Object ID,Código SIG,ID Tipo,Morada,Designação,Tipologia,MOBILIDADE_REDUZIDA,GlobalID,x,y
425,2134,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 6 no Parque da Belavista Central,Bebedouro,NÃO,78c5c2cd-5806-444b-87fd-1a715d68f430,-1015950.99391239,4686114.89077129
426,3371,4,Parque do Vale do Silêncio,Bebedouro 1 no Parque do Vale do Silêncio,Bebedouro,NÃO,7664353d-656d-41a9-8e21-adbaa5dc6d69,-1015116.14972728,4688158.34081836
427,3372,4,Parque do Vale do Silêncio,Bebedouro 2 no Parque do Vale do Silêncio,Bebedouro,NÃO,a5f67b8a-2e13-4693-a011-ac146a8c8498,-1015011.0572541,4688439.90518971
428,2127,4,Rua Prof. Lopo de Carvalho(antiga Rua I-20 da Malha I de Chelas),Bebedouro 2 no Parque do Vale Fundão,Bebedouro,NÃO,0fc4eb59-000f-4468-bbd5-fb643ea8815b,-1014000.91081601,4686340.16164269
429,2135,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 7 no Parque da Belavista Central,Bebedouro,NÃO,6700d337-b97b-4356-bb2e-f5bdfbd04c12,-1016055.13373563,4686391.06238225
430,2137,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 9 no Parque da Belavista Central,Bebedouro,NÃO,0c8dd1cb-d667-4a76-ad62-e2f311825a2d,-1016072.09608068,4686379.80614715
431,2138,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 10 no Parque da Belavista Central,Bebedouro,NÃO,66f1102f-e96a-4cb7-9c56-e2f6f3c40066,-1016072.73821015,4686382.03557227
432,2136,4,Avenida Dr. Arlindo Vicente(antiga Rua 1 da Zona N1 de Chelas),Bebedouro 8 no Parque da Belavista Central,Bebedouro,NÃO,7874aae2-dfd6-43b0-a279-d568127bcdb5,-1016055.51988079,4686393.22131129
433,2139,4,Avenida do Santo Condestável(antiga Avenida Principal de Chelas),Bebedouro junto ao SkatePark do Parque Hortícola de Chelas,Bebedouro,NÃO,ac308538-48ec-47b9-8ea0-c8ccb21c62ce,-1015154.09075524,4686352.97831508
434,2140,4,Avenida do Santo Condestável(antiga Avenida Principal de Chelas),Bebedouro junto ao Parque Infantil do Parque Hortícola de Chelas,Bebedouro,NÃO,e3cc420f-984d-4c57-91af-6b9c607b0562,-1015530.05345776,4686781.97805578
435,2141,4,Rua Interior à Azinhaga da Fonte do Louro,Bebedouro 1 da Quinta da Montanha,Bebedouro,NÃO,05a65bab-d6e0-41d8-a2d1-0d3efe805619,-1016307.31073041,4685682.51193722
436,2142,4,Rua Interior à Azinhaga da Fonte do Louro,Bebedouro junto ao Parque Infantil da Quinta da Montanha,Bebedouro,NÃO,b44bcb47-499f-4002-8442-450a73ef6ffa,-1016317.49674794,4685659.33271929
437,825,4,"Vila Guiné(Estrada de Monsanto, 78A)",Bebedouro 1 no Parque de Merendas da Vila Guiné,Bebedouro,NÃO,7edafd26-506b-42d3-80e4-1d9669904354,-1024171.77070072,4683959.97122438
438,826,4,"Vila Guiné(Estrada de Monsanto, 78A)",Bebedouro 2 no Parque de Merendas da Vila Guiné,Bebedouro,NÃO,ff8a70ab-751c-4a19-9d26-4cfe943afc1e,-1024144.26749658,4683984.22360128
439,244,4,Alameda Keil do Amaral,Bebedouro 1 na Alameda Keil do Amaral,Bebedouro,NÃO,8dc7f410-1039-4612-a2bc-f516fece32a6,-1022902.4356833,4681996.66354792
440,245,4,Alameda Keil do Amaral,Bebedouro junto ao Skate Park da Alameda Keil do Amaral,Bebedouro,NÃO,48e085de-4aae-44d5-a252-2eb65568534b,-1023063.17220013,4681840.81306446
441,1219,4,Castelo de São Jorge,Poço 3,Poço,,c822e302-0a5b-40cd-b6f3-e6bcd00c7424,-1016760.10372307,4680598.01044789
442,1402,4,Praça do Marquês de Pombal,Lago da Estátua,Lago,,7cd7bcc9-8c6e-4176-b71a-3cd9d8dd8819,-1018568.70379074,4682385.04987933
443,108,4,Largo da Ajuda,Fontanário no Largo da Ajuda,Fontanário,,9e180db1-61dd-4568-b41f-0a731af57f65,-1023664.32852933,4679830.09315781
444,1229,4,Castelo de São Jorge,Lago 5,Lago,,930c16da-3604-4a56-9cd0-ba727efecb70,-1016734.10301021,4680613.24402938
445,110,4,"Calçada do Mirante à Ajuda, Pátio",Mãe de Água do Pátio à Calçada do Mirante à Ajuda,Reservatório,,781975d3-ef9b-42be-9c01-4bdb2342f0e1,-1023975.32726127,4680040.71862902
446,1205,4,Castelo de São Jorge,Tanque com bica 5,Tanque,,bdee2bd4-23b0-49d1-88f1-3c60ed9c81af,-1016769.37145211,4680554.28008793
447,1210,4,Castelo de São Jorge,Tanque com bica 10,Tanque,,2545de3f-27ed-4582-a2a5-9234749025bc,-1016751.75004993,4680783.78107053
448,1227,4,Castelo de São Jorge,Lago 3,Lago,,5bdfb8e3-ace5-4e40-8501-f371c7f87066,-1016720.32602911,4680626.94124455
